Sl No.,Bank Code,Bank Name,Branches
156,AHDC,THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,289
157,AJAR,The Ajara Urban Co op Bank Ltd Ajara,33
158,ADCC,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK,113
159,APBL,THE ANDHRA PRADESH STATE COOPERATIVE BANK LIMITED,446
160,NOSC,THE BANK OF NOVA SCOTIA,2
161,BARA,THE BARAMATI SAHAKARI BANK LTD,38
162,COSB,THE COSMOS CO OPERATIVE BANK LIMITED,143
163,DLSC,THE DELHI STATE COOPERATIVE BANK LIMITED,51
164,GDCB,THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK LIMITED,1
165,GBCB,THE GREATER BOMBAY COOPERATIVE BANK LIMITED,23
166,GSCB,THE GUJARAT STATE COOPERATIVE BANK LIMITED,1573
167,HARC,THE HARYANA STATE COOPERATIVE APEX BANK LTD,16
168,HCBL,THE HASTI COOP BANK LTD,22
169,JPCB,THE JALGAON PEOPLES COOPERATIVE BANK LIMITED,41
170,KJSB,THE KALYAN JANATA SAHAKARI BANK LTD.,48
171,KACE,THE KANGRA CENTRAL COOPERATIVE BANK LIMITED,218
172,KANG,THE KANGRA COOPERATIVE BANK LIMITED,12
173,KUCB,THE KARAD URBAN COOPERATIVE BANK LIMITED,63
174,KSCB,THE KARNATAKA STATE COOPERATIVE APEX BANK LIMITED,110
175,KSBK,The Kerala State Co Operative Bank Ltd,21
176,KOLH,The Kolhapur Urban Co-op Bank Ltd,21
177,KNSB,THE KURMANCHAL NAGAR SAHAKARI BANK LIMITED,44
178,TMSB,The Malad Sahakari Bank Ltd,7
179,MKPB,The Malkapur Urban Co Operative Bank Ltd Malkapur,29
180,MSNU,THE MEHSANA URBAN COOPERATIVE BANK,58
181,MDCB,THE MUMBAI DISTRICT CENTRAL COOPERATIVE BANK LIMITED,74
182,MUBL,THE MUNICIPAL COOPERATIVE BANK LIMITED,23
183,MSLM,The Muslim Co-operative Bank Ltd,28
184,NTBL,THE NAINITAL BANK LIMITED,164
185,NMCB,THE NASIK MERCHANTS COOPERATIVE BANK LIMITED,81
186,NVNM,THE NAVNIRMAN CO-OPERATIVE BANK LIMITED,15
187,TNCB,THE NAWANAGAR COOPERATIVE BANK LTD,12
188,NCUB,THE NILAMBUR CO OPERATIVE URBAN BANK LTD NILAMBUR,28
189,ORCB,THE ODISHA STATE COOPERATIVE BANK LTD,32
190,PUCB,THE PANDHARPUR URBAN CO OP. BANK LTD. PANDHARPUR,31
191,TPSC,THE PUNJAB STATE COOPERATIVE BANK LTD,21
192,PUSD,The Pusad Urban Cooperative Bank Ltd Pusad,38
193,RSCB,THE RAJASTHAN STATE COOPERATIVE BANK LIMITED,498
194,SVBL,THE SEVA VIKAS COOPERATIVE BANK LIMITED,1
